x,y,z
7.85982e-08,-43.7898,-0.7481399999999999
0.44606999999999997,-51.1146,1.725
0.173979,-9.96722,-1.15154
0.11519800000000001,-4.39922,-1.55893
0.153866,-4.40613,-1.55851
0.432751,-9.91164,-1.15098
2.15375,-41.096000000000004,-0.8003439999999999
2.52274,-41.2464,-0.650828
2.80645,-40.1341,-0.6539689999999999
3.15062,-40.0325,-0.6035739999999999
3.52546,-40.2962,-0.768943
3.8998800000000005,-40.5018,-0.623436
0.669249,-6.3674800000000005,-1.36295
0.721438,-6.331980000000001,-1.36264
4.7937199999999995,-39.0417,-0.743317
1.21897,-9.259,-1.06923
0.8841690000000001,-6.29119,-1.36471
1.4119700000000002,-9.44773,-0.6258050000000001
1.47729,-9.32722,-0.820358
1.5546799999999998,-9.290389999999999,-0.819105
1.6394799999999998,-9.297930000000001,-0.820247
1.72213,-9.2918,-1.0033100000000001
1.7964900000000001,-9.24214,-1.03325
1.27834,-6.28322,-1.36253
2.4955,-11.7404,-1.06013
2.57499,-11.615,-1.06375
1.43848,-6.23076,-1.36487
1.49505,-6.22731,-1.36345
2.27094,-9.108239999999999,-1.07105
10.4888,-40.5573,1.575
3.1069299999999997,-11.5952,-1.05782
13.1576,-47.4449,1.575
11.5574,-40.3053,1.525
11.7037,-39.5112,1.525
3.50146,-11.4528,-1.06263
3.5978,-11.4108,-1.06055
3.6770099999999997,-11.3167,-1.05978
14.5573,-43.5073,1.525
3.90965,-11.3544,-1.0581
14.0986,-39.8133,1.525
14.3867,-39.5272,1.525
14.8953,-39.8393,1.525
15.2437,-39.7112,1.575
6.7110899999999996,-17.0371,-0.6842739999999999
2.77977,-6.88017,-1.31637
16.7324,-40.3955,1.575
4.69886,-11.0698,-1.05841
2.96307,-6.8146,-1.3165799999999999
3.00366,-6.74633,-1.31659
3.0871,-6.774030000000001,-1.3182399999999999
2.5522,-5.3508,-1.4879799999999999
2.59619,-5.32298,-1.48757
2.6427400000000003,-5.30051,-1.4875
2.69093,-5.28125,-1.48725
3.07396,-5.9050199999999995,-1.42813
2.77923,-5.22697,-1.48764
2.86943,-5.28483,-1.40601
2.87011,-5.17782,-1.48737
2.98368,-5.273630000000001,-1.4062700000000001
2.95909,-5.125290000000001,-1.4872299999999998
3.09175,-5.24875,-1.42874
3.1274599999999997,-5.20496,-1.42923
3.1227,-5.09578,-1.42882
3.1651599999999998,-5.06531,-1.42876
3.2276700000000003,-5.06643,-1.42885
3.2928699999999997,-5.0705800000000005,-1.39371
3.3875900000000003,-5.1180900000000005,-1.39963
3.4303800000000004,-5.08575,-1.4278
2.95485,-4.29933,-1.50148
7.42632,-10.6059,-1.16211
30.8199,-43.2079,1.375
4.57886,-6.3022599999999995,-1.3852799999999998
4.62552,-6.25103,-1.3853600000000001
4.02886,-5.34647,-1.4275200000000001
3.17461,-4.137230000000001,-1.50146
4.792330000000001,-6.13391,-1.38486
15.8698,-19.951,-0.414983
3.29524,-4.06928,-1.50158
3.3260300000000003,-4.0348,-1.5022
3.3685099999999997,-4.01443,-1.50167
3.4007699999999996,-3.98179,-1.5018799999999999
3.43437,-3.95079,-1.5025
3.4720699999999995,-3.92447,-1.50158
3.50406,-3.89165,-1.5018799999999999
3.5428800000000003,-3.86637,-1.5024
3.5743300000000002,-3.833,-1.5025
3.6101400000000003,-3.8043,-1.5016100000000001
41.4654,-42.9386,1.675
3.67594,-3.7406699999999997,-1.5021799999999998
4.7298599999999995,-4.7298599999999995,-1.4275
4.77186,-4.68929,-1.4276200000000001
36.2165,-34.9739,1.525
17.1252,-16.2512,-0.36203
4.89602,-4.5656099999999995,-1.42769
11.248,-10.3069,-1.0288899999999999
17.3762,-15.6456,-0.362334
4.4324900000000005,-3.92153,-1.48725
4.46986,-3.88559,-1.48724
5.92166,-5.057580000000001,-1.3851799999999999
4.54103,-3.8103800000000003,-1.48728
20.1953,-16.6477,-0.453491
20.4853,-16.5886,-0.7886529999999999
59.6249,-45.7518,1.625
4.73387,-3.5672300000000003,-1.48726
4.76497,-3.52589,-1.48727
4.796069999999999,-3.48455,-1.48767
8.63075,-6.15625,-1.2335
3.62408,-2.49076,-1.5585
6.43666,-4.34158,-1.3854
5.5824,-3.6949099999999997,-1.42822
9.16249,-5.95019,-1.2010100000000001
3.94374,-2.5124400000000002,-1.52245
3.7321800000000005,-2.33213,-1.55853
5.68966,-3.4866300000000003,-1.4275799999999998
4.98794,-2.99706,-1.48809
4.93588,-2.90746,-1.49032
5.1186,-2.95522,-1.48727
5.00364,-2.83092,-1.49065
4.9791300000000005,-2.75998,-1.4912299999999998
4.38984,-2.38349,-1.50365
5.89738,-3.1356900000000003,-1.42926
4.02465,-2.0951,-1.6165200000000002
5.9349300000000005,-3.0239999999999996,-1.4276
5.21588,-2.60054,-1.48881
5.28794,-2.5791,-1.48727
5.33419,-2.54428,-1.48838
69.5583,-32.4356,1.575
4.68396,-2.1346,-1.6495
8.51416,-3.79075,-1.3719
8.58722,-3.73383,-1.37097
10.6227,-4.5090699999999995,-1.28434
5.121169999999999,-2.12126,-1.6235600000000001
10.7476,-4.34232,-1.2845600000000001
6.4717,-2.54927,-1.49185
6.45487,-2.47779,-1.4935100000000001
8.68951,-3.24887,-1.37105
5.95812,-2.16858,-1.61189
36.8041,-13.033,-0.569163
13.1766,-4.53707,-1.26021
13.277000000000001,-4.31395,-1.26546
13.152000000000001,-4.1468,-1.25949
13.3254,-4.07399,-1.26146
13.392999999999999,-3.9671800000000004,-1.25916
13.3255,-3.8210300000000004,-1.25905
29.1934,-8.096039999999999,-0.433497
8.518410000000001,-2.2825,-1.59469
58.8038,-15.2077,1.625
58.9438,-14.6964,1.625
9.96942,-2.39345,-1.52549
10.3589,-2.39155,-1.59602
15.3084,-3.39379,-0.646517
12.5763,-2.67318,-1.45642
10.6325,-1.97062,-1.59374
17.5306,-3.09112,-1.35984
16.5911,-2.77641,-1.4646
17.6805,-2.8003099999999996,-1.44207
13.5188,-1.3017100000000001,-1.5382799999999999
76.2349,-6.669689999999999,2.075
66.6964,-5.24912,1.975
66.7059,-4.66453,1.975
61.6226,-3.7689999999999997,1.925
57.0387,-2.49036,1.875
57.0091,-1.9908,1.875
7.52424,-0.0656631,-1.62153
7.5265699999999995,0.0,-1.62152
7.51613,0.0655923,-1.6215
7.51824,0.196872,-1.62142
8.83042,0.694969,-1.59117
29.3555,3.34464,-1.29788
29.4873,3.62059,-1.35695
27.5473,4.36307,-1.18631
15.397,2.5765700000000002,-1.3138299999999998
17.4639,3.3946400000000003,-1.37786
13.3976,2.84775,-1.2632299999999999
11.7811,2.6118,-1.36873
14.2013,3.2786199999999996,-1.09801
14.7863,3.54987,-1.26249
14.76,3.6800900000000003,-1.2583799999999998
13.2489,3.4264,-1.2598799999999999
12.5566,3.3645300000000002,-1.22096
15.6182,4.3313,-1.3203
11.29,3.23735,-1.27659
66.2016,19.6098,1.975
11.0259,3.37094,-1.28665
13.2069,4.16413,-1.2678200000000002
8.90747,2.8942099999999997,-1.37151
10.9133,3.65153,-1.2857
13.0141,4.48113,-1.28312
13.2017,4.674980000000001,-1.4897
12.9864,4.7266699999999995,-1.2602200000000001
11.1172,4.156540000000001,-1.49125
13.034,5.00328,-1.4925
13.081,5.1527400000000005,-1.49324
8.27229,3.3422199999999997,-1.2967
19.6577,8.14247,-1.4547
7.161110000000001,3.03971,-1.3886
7.13475,3.10228,-1.38504
7.1054,3.1635299999999997,-1.38487
9.85817,4.49263,-1.2046700000000001
6.275530000000001,2.92633,-1.49269
8.034980000000001,3.83249,-1.30574
7.683,3.74725,-1.2973299999999999
9.52946,4.75122,-1.2369
6.620260000000001,3.37319,-1.3196700000000001
7.853839999999999,4.08845,-1.29718
6.49578,3.4538699999999998,-1.31988
5.63501,3.05956,-1.36306
5.596,3.1019099999999997,-1.3625399999999999
6.4191,3.63175,-1.31836
5.5444,3.20106,-1.36366
7.67513,4.521,-1.29833
5.48578,3.29619,-1.36275
49.1344,30.1096,1.175
4.57357,2.8578799999999998,-1.56227
5.91031,3.7652900000000002,-1.25494
59.7463,38.7997,1.125
4.74846,3.1429400000000003,-1.42679
4.656630000000001,3.14094,-1.42527
5.69729,3.9156400000000002,-1.24884
5.00194,3.5024,-1.2998
4.94557,3.5276400000000003,-1.30197
4.93952,3.58877,-1.30124
4.86212,3.6638699999999997,-1.3004200000000001
5.3873,4.13382,-1.2515399999999999
4.76499,3.7228199999999996,-1.29774
4.21141,3.34991,-1.36784
3.54395,2.86984,-1.61642
4.10821,3.38655,-1.3637700000000001
4.01309,3.3673800000000003,-1.36468
4.01861,3.4322199999999996,-1.36342
4.36189,3.7917300000000003,-1.2819999999999998
4.38069,3.8757099999999998,-1.23484
3.9785,3.5822599999999998,-1.3652600000000001
3.9639599999999997,3.6323,-1.3649
3.9060599999999996,3.64246,-1.36436
4.27365,4.055540000000001,-1.29778
3.22916,3.11837,-1.464
3.45819,3.39836,-1.38132
3.42027,3.42027,-1.38185
3.13003,3.18514,-1.4635
4.64896,4.81414,-1.25668
3.20641,3.37885,-1.38115
4.755,5.09911,-1.24842
3.72767,4.06804,-1.27399
3.86774,4.29557,-1.23686
2.6968099999999997,3.04819,-1.49356
3.16552,3.64152,-1.38499
4.78264,5.59975,-1.12532
3.20873,3.82401,-1.34143
3.2491,3.9414800000000003,-1.30246
2.73618,3.3789,-1.4047100000000001
3.20538,4.02971,-1.3073
2.66914,3.41634,-1.40754
3.54849,4.62449,-1.23555
3.1013,4.11557,-1.30575
2.56806,3.47054,-1.4046100000000001
